,productie_id,functie_id,functie,persoon_id,persoon
0,460936,11710,decorontwerp,1908223,Giovani Vanhoenacker
1,460936,11641,klankontwerp,1902953,Kurt Verleure
2,460936,11741,met,1896587,Pieter Genard
3,460936,11741,met,1879577,Ryszard Turbiasz
4,460936,11741,met,1905261,Charlotte Vandermeersch
5,460936,11741,met,1879951,GÃ¼nther Lesage
6,460936,11741,met,1892865,Koen De Graeve
7,460936,11741,met,1903776,Dominique Collet
8,460936,11711,kostuumontwerp,1904736,Karen De Wolf
9,460936,11631,tekst,1877540,Fjodor Michajlovitsj Dostojevski
10,460936,11711,kostuumontwerp,1910005,Marie Dries
11,460936,11711,kostuumontwerp,1935367,Viviane Van der Poel
12,460936,11722,lichtontwerp,1888314,Mark Van Denesse
13,460936,11546,techniek,1902953,Kurt Verleure
14,460936,11546,techniek,1946033,Bram Corneillie
